URUN_REFNO|ADI|KATEGORI_REFNO|ALT_KATEGORI_REFNO|TEDARIKCI_REFNO|KDVSIZ_SATIS_FIYATI|KDVSIZ_ALIS_FIYATI|SATIS_KDV_ORANI|ALIS_KDV_ORANI|BARKODU|BIRIM1|BIRIM2|
269|EVEREST PL0327- KULPLU BEYAZ|1|1|2|31,46|0,0000|0|0|8692212121|ADET||
270|EVEREST PL0327-1 KULPLU MAVÝ|1|1|2|31,46|0,0000|0|0|8692212121|ADET||
271|MINTON 901F USB BEY SIY GRI CIFT FAN|1|1|2|27,83|0,0000|0|0|8692212121|ADET||
272|MINTON 904F USB SIY MAV GRI CIFT FAN|1|1|2|30,25|0,0000|0|0|8692212121|ADET||
273|MINTON 911F USB BEY SIY CIFT FAN KULP DIGITAL|1|1|2|39,93|0,0000|0|0|8692212121|ADET||
274|QUAKE KM 3802 MUTIMEDIA SÝYAH|1|1|2|8,47|0,0000|0|0|8692212121|ADET||
275|A4TECH KBS 720 ANTI STANDART|1|1|2|4,774|0,0000|0|0|8692212121|ADET||
276|CHIC KLAVYE VE MOUSE  KABLOSUZ OPTIK|1|1|2|33,275|0,0000|0|0|8692212121|ADET||
277|A4 TECH KSB-21A MULTIMEDIA|1|1|2|9,075|0,0000|0|0|8692212121|ADET||
278|MINTON PS2 Q-F TR SIY/BEY|1|1|2|3,63|0,0000|0|0|8692212121|ADET||
279|A4 TECH KB827R KLAVYE MOUSE RF|1|1|2|31,46|0,0000|0|0|8692212121|ADET||
280|ITSPEED MM PS2 Q TR|1|1|2|3,509|0,0000|0|0|8692212121|ADET||
281|KONNEKTÖR 8 PIN 8 KONTAK LT-BP|1|1|2|0,121|0,0000|0|0|8692212121|ADET||
282|CNET SIGLEPOINT 56K V92 PCI|1|1|2|7,26|0,0000|0|0|8692212121|ADET||
283|SPEEDCOM 56K USB EXT.|1|1|2|33,88|0,0000|0|0|8692212121|ADET||
284|APACHE 56K USB EXT. V92|1|1|2|59,29|0,0000|0|0|8692212121|ADET||
285|HYUNDAI V773|1|1|2|124,025|0,0000|0|0|8692212121|ADET||
286|HYUNDAI 17" Q770 FLAT|1|1|2|154,88|0,0000|0|0|8692212121|ADET||
287|SAMSUNG 17" 757MB|1|1|2|244,42|0,0000|0|0|8692212121|ADET||
288|HYUNDAI 19" Q995|1|1|2|269,83|0,0000|0|0|8692212121|ADET||
289|PHILIPS 15" 105S51|1|1|2|116,16|0,0000|0|0|8692212121|ADET||
290|PHILIPS 17" 1O7X53|1|1|2|160,93|0,0000|0|0|8692212121|ADET||
291|LG 17" 710S|1|1|2|121,605|0,0000|0|0|8692212121|ADET||
292|CHIC 1380 USB PS-2 MOUSE OPTICAL|1|1|2|7,865|0,0000|0|0|8692212121|ADET||
293|A4 TECH SERI MOUSE|1|1|2|1,21|0,0000|0|0|8692212121|ADET||
294|A4 TECH BW-35 OPTIK PS/2|1|1|2|9,68|0,0000|0|0|8692212121|ADET||
295|A4 TECH WOP-33 USB SCROLL|1|1|2|10,285|0,0000|0|0|8692212121|ADET||
296|QUAKE WOP333-OPTICAL|1|1|2|6,347|0,0000|0|0|8692212121|ADET||
297|APPLET 8 PORT 10/100 SWITCH|1|1|2|18,15|0,0000|0|0|8692212121|ADET||
298|APPLET 16 PORT 10/100 SWITCH|1|1|2|41,14|0,0000|0|0|8692212121|ADET||
299|APPLET 24PORT 10/100 SWITCH|1|1|2|81,07|0,0000|0|0|8692212121|ADET||
300|3COM 3C996B-T 10/100/1000|1|1|2|107,69|0,0000|0|0|8692212121|ADET||
301|DLINK DFE-550FX PCI 100FX 32BIT FIBER ETHERNET|1|1|2|84,7|0,0000|0|0|8692212121|ADET||
302|EDIMAX ES-3108 8 PORT 10/100 SWITCH|1|1|2|19,36|0,0000|0|0|8692212121|ADET||
303|EDIMAX ES-3116 16 PORT 10/100 SWITCH|1|1|2|42,35|0,0000|0|0|8692212121|ADET||
304|EDIMAX ES-3116RL 16 PORT 10/100 RACK MOUNT SWITCH|1|1|2|70,18|0,0000|0|0|8692212121|ADET||
305|LG LM-50|1|1|2|1915,1|0,0000|0|0|8692212121|ADET||
306|MSI M510C|1|1|2|1435,5|0,0000|0|0|8692212121|ADET||
307|ASUS AN-232|1|1|2|1507|0,0000|0|0|8692212121|ADET||
308|IBM R50E|1|1|2|1320|0,0000|0|0|8692212121|ADET||
309|HP IPAQ RZ1710 FA 289A|1|1|2|359,37|0,0000|0|0|8692212121|ADET||
310|P4 POWER SUPLY|1|1|2|10,89|0,0000|0|0|8692212121|ADET||
311|P3 POWER SUPPLY|1|1|2|9,68|0,0000|0|0|8692212121|ADET||
312|MUSTEK BEARPAW 2448 TA PRO|1|1|2|90,75|0,0000|0|0|8692212121|ADET||
313|HP ML1110 359661-421|1|1|2|1027,29|0,0000|0|0|8692212121|ADET||
314|HP ML1110 356963-421|1|1|2|1148,29|0,0000|0|0|8692212121|ADET||
315|IBM P1MRGTU|1|1|2|3870,79|0,0000|0|0|8692212121|ADET||
316|OEM SPEAKER 1200 WATT 2+1|1|1|2|8,47|0,0000|0|0|8692212121|ADET||
317|MIYAKO A826CE 6000W 5+1 REMOTE|1|1|2|59,411|0,0000|0|0|8692212121|ADET||
318|MIYAKO A833CE 8000W 5+1 REMOTE|1|1|2|95,59|0,0000|0|0|8692212121|ADET||
319|MINTON HTS 220 700W AHSAP|1|1|2|7,865|0,0000|0|0|8692212121|ADET||
320|MINTON HTS 3000 4+1 REMOTE DVD-VCD|1|1|2|47,19|0,0000|0|0|8692212121|ADET||
321|JAZZ 9911C 6000W 5+1 AHSAP|1|1|2|60,5|0,0000|0|0|8692212121|ADET||
322|JAZZ 2530 SET (JDH2530 DVD)|1|1|2|151,25|0,0000|0|0|8692212121|ADET||
323|CASONIC CD-6611 KULAKLIK MIKROFON IPLI|1|1|2|7,26|0,0000|0|0|8692212121|ADET||
324|INCA 3200 5+1|1|1|2|59,895|0,0000|0|0|8692212121|ADET||
325|CREATIVE PC WORKS LX 520|1|1|2|75,02|0,0000|0|0|8692212121|ADET||
326|CREATIVE SBS 370|1|1|2|30,25|0,0000|0|0|8692212121|ADET||
327|CANON BCI-24 SÝYAH KARTUÞ|1|1|2|6,358|0,0000|0|0|8692212121|ADET||
328|CANON BCI-24 RENKLÝ KARTUÞ|1|1|2|13,794|0,0000|0|0|8692212121|ADET||
329|HP C8727A SÝYAH KARTUÞ|1|1|2|16,269|0,0000|0|0|8692212121|ADET||
330|HP C8728A RENKLÝ KARTUÞ|1|1|2|19,074|0,0000|0|0|8692212121|ADET||
331|HP C6658 FOTO KARTUÞ|1|1|2|23,21|0,0000|0|0|8692212121|ADET||
332|HP C6657 SÝYAH KARTUÞ|1|1|2|29,579|0,0000|0|0|8692212121|ADET||
333|HP C6656 RENKLÝ KARTUÞ|1|1|2|29,304|0,0000|0|0|8692212121|ADET||
334|LEXMARK I0N0026 RENKLÝ KARTUÞ|1|1|2|37,334|0,0000|0|0|8692212121|ADET||
335|LEXMARK I0N0217 SÝYAH KARTUÞ|1|1|2|23,353|0,0000|0|0|8692212121|ADET||
336|LEXMARK I0N0227 RENKLÝ KARTUÞ|1|1|2|25,168|0,0000|0|0|8692212121|ADET||
337|LEXMARK I0N0016 SÝYAH KARTUÞ|1|1|2|33,858|0,0000|0|0|8692212121|ADET||
338|LEXMARK 15MO120 RENKLÝ KARTUÞ|1|1|2|42,922|0,0000|0|0|8692212121|ADET||
339|LEXMARK 12A1990 SÝYAH KARTUÞ|1|1|2|36,091|0,0000|0|0|8692212121|ADET||
340|HP LAZER Q2612A SÝYAH TONER|1|1|2|62,436|0,0000|0|0|8692212121|ADET||
341|HP LAZER Q5949A SÝYAH TONER|1|1|2|71,456|0,0000|0|0|8692212121|ADET||
342|HP LAZER Q3971A MAVÝ TONER|1|1|2|71,533|0,0000|0|0|8692212121|ADET||
343|HP LAZER Q3973A KIRMIZI TONER|1|1|2|71,533|0,0000|0|0|8692212121|ADET||
344|HP LAZER Q3972A SARI TONER|1|1|2|71,533|0,0000|0|0|8692212121|ADET||
345|HP LAZER Q3960A SÝYAH TONER|1|1|2|80,377|0,0000|0|0|8692212121|ADET||
346|SKY STAR2 DIGITAL TV KARTI|1|1|2|77,44|0,0000|0|0|8692212121|ADET||
347|AVERMEDIA AVER TV DVBS|1|1|2|112,53|0,0000|0|0|8692212121|ADET||
348|SAMSUNG ML1710P LASER|1|1|2|168,19|0,0000|0|0|8692212121|ADET||
349|SAMSUNG CLP-500 RENKLI LASER YAZICI|1|1|2|567,49|0,0000|0|0|8692212121|ADET||
350|SAMSUNG SCX 4216F LASER T-FOT-FAX KAPAK|1|1|2|402,93|0,0000|0|0|8692212121|ADET||
351|CANON BUBLEJET I455|1|1|2|75,02|0,0000|0|0|8692212121|ADET||
352|ASUS MIDI TOWER SÝYAH 300W USB|1|1|2|58,08|0,0000|0|0|8692212121|ADET||
353|MICROLAB 4500WATT 5+1 SÝYAH HOPARLÖR|1|1|2|48,4|0,0000|0|0|8692212121|ADET||
354|SONY DSC-P41|1|1|2|171,82|0,0000|0|0|8692212121|ADET||
355|AMD SEMPRON 2800 333MHZ 384 Kb|1|1|2|137,94|0,0000|0|0|8692212121|ADET||
356|DAYTONA 128 MB GF FX5200|1|1|2|56,265|0,0000|0|0|8692212121|ADET||
357|ALPS DISKET SURUCU SIYAH|1|1|2|6,952|0,0000|0|0|8692212121|ADET||
358|CODEGEN 3307-CA 300W SÝYAH|1|1|2|28,435|0,0000|0|0|8692212121|ADET||
359|MÝNTON P4 MPC 902 300W BEJ USB|1|1|2|24,2|0,0000|0|0|8692212121|ADET||
360|MÝNTON P4 MPC 902 300W SÝYAH USB|1|1|2|24,2|0,0000|0|0|8692212121|ADET||
361|FLOWER GH-206MV KULAKLIK MÝKROFON|1|1|2|3,63|0,0000|0|0|8692212121|ADET||
362|PHILIPS MONITOR 107E61 17" 0,28|1|1|2|125,84|0,0000|0|0|8692212121|ADET||
363|PHILIPS MONITOR 107E66 17" 0,28 SÝYAH|1|1|2|127,05|0,0000|0|0|8692212121|ADET||
364|OEM 800 WATT|1|1|2|6,05|0,0000|0|0|8692212121|ADET||
365|SAMSUNG SCX-4100 LAZER YAZICI|1|1|2|223,85|0,0000|0|0|8692212121|ADET||
366|HP OFFICEJET 3015A4 LASER YAZICI|1|1|2|425,601|0,0000|0|0|8692212121|ADET||
